id;Nombre;Slug
1;Abarth;abarth
2;Alfa Romeo;alfa-romeo
3;Aro;aro
4;Asia;asia
5;Asia Motors;asia-motors
6;Aston Martin;aston-martin
7;Audi;audi
8;Austin;austin
9;Auverland;auverland
10;Bentley;bentley
11;Bertone;bertone
12;Bmw;bmw
13;Cadillac;cadillac
14;Chevrolet;chevrolet
15;Chrysler;chrysler
16;Citroen;citroen
17;Corvette;corvette
18;Dacia;dacia
19;Daewoo;daewoo
20;Daf;daf
21;Daihatsu;daihatsu
22;Daimler;daimler
23;Dodge;dodge
24;Ferrari;ferrari
25;Fiat;fiat
26;Ford;ford
27;Galloper;galloper
28;Gmc;gmc
29;Honda;honda
30;Hummer;hummer
31;Hyundai;hyundai
32;Infiniti;infiniti
33;Innocenti;innocenti
34;Isuzu;isuzu
35;Iveco;iveco
36;Iveco-pegaso;iveco-pegaso
37;Jaguar;jaguar
38;Jeep;jeep
39;Kia;kia
40;Lada;lada
41;Lamborghini;lamborghini
42;Lancia;lancia
43;Land-rover;land-rover
44;Ldv;ldv
45;Lexus;lexus
46;Lotus;lotus
47;Mahindra;mahindra
48;Maserati;maserati
49;Maybach;maybach
50;Mazda;mazda
51;Mercedes-benz;mercedes-benz
52;Mg;mg
53;Mini;mini
54;Mitsubishi;mitsubishi
55;Morgan;morgan
56;Nissan;nissan
57;Opel;opel
58;Peugeot;peugeot
59;Pontiac;pontiac
60;Porsche;porsche
61;Renault;renault
62;Rolls-royce;rolls-royce
63;Rover;rover
64;Saab;saab
65;Santana;santana
66;Seat;seat
67;Skoda;skoda
68;Smart;smart
69;Ssangyong;ssangyong
70;Subaru;subaru
71;Suzuki;suzuki
72;Talbot;talbot
73;Tata;tata
74;Toyota;toyota
75;Umm;umm
76;Vaz;vaz
77;Volkswagen;volkswagen
78;Volvo;volvo
79;Wartburg;wartburg
